Determinante,Subdeterminante,Nome do indicador,Fonte,Unidade de medida,Período,Mafra,Bela Vista do Toldo,Canoinhas,Irineópolis,Itaiópolis,Major Vieira,Monte Castelo,Papanduva,Porto União, Três Barras,São Paulo,Rio de Janeiro,Brasília,Salvador,Fortaleza,Belo Horizonte,Manaus,Curitiba,Recife,Goiânia,Belém,Porto Alegre,Guarulhos,Campinas,São Luís,São Gonçalo,Maceió,Duque de Caxias,Campo Grande,Natal,Teresina,São Bernardo do Campo,João Pessoa,Nova Iguaçu,São José dos Campos,Santo André,Ribeirão Preto,Jaboatão dos Guararapes,Uberlândia,Osasco,Sorocaba,Contagem,Aracaju,Feira de Santana,Cuiabá,Joinville,Aparecida de Goiânia,Londrina,Juiz de Fora,Porto Velho,Ananindeua,Serra,Caxias do Sul,Macapá,Niterói,Florianópolis,Belford Roxo,Campos dos Goytacazes,Vila Velha,Mauá,São João de Meriti,São José do Rio Preto,Mogi das Cruzes,Betim,Boa Vista,Maringá,Santos,Diadema,Jundiaí,Rio Branco,Montes Claros,Campina Grande,Piracicaba,Carapicuíba,Anápolis,Olinda,Cariacica,Bauru,Itaquaquecetuba,São Vicente,Vitória,Caruaru,Caucaia,Blumenau,Petrolina,Ponta Grossa,Franca,Canoas,Pelotas,Vitória da Conquista,Ribeirão das Neves,Uberaba,Paulista,Praia Grande,Cascavel,São José dos Pinhais,Guarujá,Taubaté,Palmas,Limeira,Camaçari,Santarém,Petrópolis,Mossoró,Suzano,Taboão da Serra,Várzea Grande,Sumaré,Marabá,Gravataí,Santa Maria
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Nota do Ideb,INEP,Índice,2019.0,5.4,0.0,5.85,6.0,5.25,5.45,525.0,5.55,5.15,4.7,4.9,4.9,4.6,3.7,5.1,4.7,4.8,5.0,4.8,5.4,4.1,4.0,5.0,5.2,4.2,3.6,4.2,3.8,4.9,3.4,5.6,5.6,4.2,3.8,5.7,5.2,4.8,4.5,4.8,4.8,5.5,4.7,3.7,3.6,4.3,5.8,4.7,5.3,4.2,4.4,4.3,4.5,4.7,3.8,3.8,4.5,3.8,3.6,4.6,5.3,3.7,5.3,5.0,5.1,4.3,5.2,5.3,5.4,5.6,4.8,4.9,4.1,5.5,5.0,5.5,4.4,4.3,4.9,4.8,4.9,4.6,4.8,4.2,4.9,5.0,4.8,5.6,4.2,4.4,4.5,4.2,5.1,4.2,5.4,5.0,4.9,5.2,5.6,5.4,5.4,4.2,4.6,4.2,3.9,5.2,5.3,4.3,5.2,4.3,4.4,4.5
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Proporção de Adultos com pelo menos o Ensino Médio Completo,INEP,% de pessoas,2021.0,22.63,10.8,25.69,1258.0,15.62,13.42,2263.0,14.7,23.45,2275.0,0.5656,0.5568,0.4962,0.5390999999999999,0.281,0.532,0.4806,0.5464,0.5302,0.4767,0.5341,0.5439,0.5958,0.599,0.5856,0.5815,0.4979,0.5306000000000001,0.5383,0.5267000000000001,0.49939999999999996,0.6365999999999999,0.5228,0.5558,0.6031,0.6437999999999999,0.6003000000000001,0.5013000000000001,0.5273,0.6145,0.6112,0.5516,0.5314,0.5347,0.5574,0.5846,0.4167,0.4996,0.5024000000000001,0.4869,0.5202,0.5045000000000001,0.5435,0.5217,0.5618,0.5324,0.47729999999999995,0.5327000000000001,0.5454,0.6253,0.5437,0.6001,0.6122,0.5167,0.5448,0.5282,0.6026,0.5801,0.5988,0.4368,0.5528,0.4725,0.5977,0.5644,0.42200000000000004,0.5494,0.46869999999999995,0.5939,0.5347,0.5722999999999999,0.5301,0.4708,0.27,0.5094,0.46159999999999995,0.5246,0.5851,0.5758,0.4917,0.44409999999999994,0.389,0.5032,0.5796,0.5642,0.5114,0.5544,0.5602,0.6152000000000001,0.5411,0.6019,0.5572,0.5109,0.531,0.4853,0.6509999999999999,0.5690999999999999,0.5186,0.5659000000000001,0.4755,0.5633,0.5179
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Nota Média no ENEM,INEP,Índice,2021.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,566.06,571.78,550.35,553.64,527.88,601.85,496.05,571.53,561.62,570.41,542.61,582.98,541.71,583.56,536.97,541.37,547.78,530.93,551.85,576.24,568.27,575.63,562.78,533.53,589.98,565.5,584.62,514.2,572.53,552.58,563.51,567.33,563.56,547.66,553.77,569.47,522.6,567.23,591.84,516.78,522.11,535.09,573.47,512.0,586.14,593.74,491.1,556.06,563.83,531.32,525.93,584.84,566.85,554.46,515.72,553.49,566.01,534.1,578.3,522.83,579.29,557.85,580.94,520.44,551.52,537.16,524.2,568.6,519.21,525.97,585.22,551.97,479.64,566.07,535.49,549.8,566.73,557.04,556.98,546.2,540.29,574.68,521.07,534.43,548.34,538.76,540.98,577.91,540.19,583.35,519.39,528.4,569.18,551.55,547.1,544.77,507.25,526.66,523.19,552.61,573.11
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Taxa Líquida de Matrícula no Ensino Médio,INEP e IBGE,% de jovens,2021.0,78.11,77.08,72.25,7047.0,63.89,70.15,5971.0,69.63,75.31,0.0,0.7641,0.764,0.7378,0.7864,0.6767,0.6801999999999999,0.8155,0.6551,0.7351000000000001,0.653,0.7581,0.6275999999999999,0.7801,0.7070000000000001,0.7109000000000001,0.45270000000000005,0.5893,0.6738,0.7287,0.6620999999999999,0.8009999999999999,0.7584000000000001,0.6670999999999999,0.7443000000000001,0.6868000000000001,0.8362999999999999,0.6876000000000001,0.5537,0.6363,0.9033,0.7606,0.5424,0.7006,0.752,0.8076000000000001,0.7003,0.6299,0.6787000000000001,0.6114999999999999,0.6224000000000001,0.7,0.5463,0.5932999999999999,0.5657,0.9381,0.8190000000000001,0.45630000000000004,0.6468,0.6058,0.5958,0.7276,0.77,0.715,0.5597,0.6437999999999999,0.5959,0.9009999999999999,0.7333,0.9354,0.6622,0.634,0.684,0.8256999999999999,0.7331,0.7284999999999999,0.6249,0.5372,0.784,0.7039,0.5925,0.9348000000000001,0.5785,0.49689999999999995,0.6855,0.7736,0.6626000000000001,0.6373,0.6664,0.6809999999999999,0.8354,0.5736,0.6468,0.6064,0.8062,0.6359,0.5716,0.6796,0.7426,0.7269,0.7073,0.9068999999999999,0.9156,0.5778,0.6451,0.863,0.7990999999999999,0.7509999999999999,0.6178,0.7168000000000001,0.6091,0.6303
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Proporção de Matriculados no Ensino Técnico e Profissionalizante,INEP e IBGE,% de jovens,2021.0,0.86,0.0,3.44,12.0,0.03,0.15,18.0,0.0,1.61,0.2,0.015300000000000001,0.011200000000000002,0.0118,0.0151,0.0126,0.0115,0.0069,0.015600000000000001,0.0434,0.0064,0.013000000000000001,0.0339,0.0043,0.0111,0.0197,0.0060999999999999995,0.0149,0.0212,0.0118,0.021099999999999997,0.021099999999999997,0.011899999999999999,0.0168,0.0167,0.0125,0.013300000000000001,0.0085,0.0064,0.0067,0.0089,0.018500000000000003,0.0070999999999999995,0.011399999999999999,0.0123,0.009000000000000001,0.0184,0.0036,0.0106,0.004699999999999999,0.0070999999999999995,0.0064,0.0154,0.0113,0.0073,0.01,0.0432,0.0034000000000000002,0.0179,0.0115,0.0059,0.0089,0.0096,0.0116,0.008199999999999999,0.0104,0.006999999999999999,0.0137,0.0088,0.0189,0.0111,0.0070999999999999995,0.015300000000000001,0.013300000000000001,0.0053,0.0066,0.0069,0.0143,0.011399999999999999,0.006500000000000001,0.0059,0.0276,0.015300000000000001,0.0052,0.0086,0.0118,0.0154,0.0116,0.0078000000000000005,0.028300000000000002,0.011000000000000001,0.0027,0.008199999999999999,0.0106,0.0096,0.0151,0.0076,0.0092,0.0138,0.0068000000000000005,0.0177,0.018000000000000002,0.0115,0.0089,0.028900000000000002,0.011000000000000001,0.009899999999999999,0.003,0.006500000000000001,0.01,0.0096,0.0239
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Índice de Acesso e Qualidade da Mão de Obra Básica,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8058,6.6569,5.8445,5.9073,4.5679,6.5668,5.1885,6.5112,7.6625,5.9514,5.7789,6.8175,6.267,7.0138,6.1727,4.4852,5.2798,5.5431,6.2205,5.8545,7.2528,7.5169,5.9265,5.7247,7.3914,7.5023,6.6382,4.5393,5.8669,6.9754,7.4675,5.5954,5.5698,5.5214,6.1281,7.3856,4.4361,6.2334,5.4979,4.6856,5.0814,5.2001,5.9781,4.3038,6.7437,8.1766,3.2959,5.5443,5.8528,5.9476,5.1164,7.2196,6.7982,5.5736,5.1259,5.735,7.5704,6.361,8.2097,5.0288,6.153,5.5319,7.5996,5.7268,5.721,5.2721,4.6886,6.8752,5.4105,5.3744,7.78,5.5074,2.5073,5.9828,5.8065,6.0208,6.7482,5.7229,6.3508,5.7316,4.0371,6.0374,5.212,6.5419,5.9506,5.4618,6.0882,7.4718,6.1314,7.4265,6.3282,6.1667,5.4261,5.8854,7.2784,6.6372,4.8833,5.6221,5.0744,5.616,6.3986
Capital Humano,Acesso e Qualidade da Mão de Obra Qualificada,Proporção de Adultos com pelo menos os Ensino Superior Completo,INEP,% pessoas,2021.0,9.65,3.16,10.68,639.0,7.72,4.73,965.0,5.33,15.47,7.13,0.4054,0.35869999999999996,0.3908,0.2791,0.1219,0.42100000000000004,0.16570000000000001,0.44920000000000004,0.3296,0.29460000000000003,0.2756,0.42950000000000005,0.2754,0.4569,0.2643,0.1963,0.2847,0.1578,0.3481,0.313,0.2961,0.3924,0.32439999999999997,0.20579999999999998,0.42310000000000003,0.41960000000000003,0.4299,0.142,0.35369999999999996,0.3497,0.3661,0.24760000000000001,0.3071,0.21109999999999998,0.4142,0.331,0.1286,0.4104,0.37770000000000004,0.2618,0.17800000000000002,0.1857,0.2844,0.3247,0.4474,0.5023,0.0815,0.26489999999999997,0.3017,0.23620000000000002,0.14679999999999999,0.401,0.3914,0.2047,0.29710000000000003,0.38299999999999995,0.4443,0.2004,0.434,0.2801,0.3703,0.23420000000000002,0.361,0.18530000000000002,0.195,0.2539,0.15,0.4194,0.17190000000000003,0.2365,0.3958,0.2143,0.029300000000000003,0.3601,0.22769999999999999,0.31829999999999997,0.3611,0.2623,0.3003,0.2133,0.1477,0.3096,0.16649999999999998,0.2231,0.3592,0.2116,0.2415,0.4025,0.3703,0.34,0.1155,0.2377,0.2764,0.21969999999999998,0.2637,0.2669,0.2095,0.1867,0.18739999999999998,0.20739999999999997,0.3387
Capital Humano,Acesso e Qualidade da Mão de Obra Qualificada,Proporção de Alunos Concluintes em Cursos de Alta Qualidade,INEP,% alunos,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16820000000000002,0.2925,0.33990000000000004,0.2444,0.2919,0.4322,0.10210000000000001,0.2232,0.2568,0.2227,0.1892,0.5163,0.08,0.39649999999999996,0.1458,0.005600000000000001,0.1404,0.0809,0.1177,0.2832,0.1911,0.36210000000000003,0.231,0.102,0.29460000000000003,0.233,0.1278,0.0116,0.44420000000000004,0.1707,0.2562,0.171,0.0571,0.3097,0.1804,0.389,0.1377,0.111,0.49219999999999997,0.1252,0.0319,0.44880000000000003,0.3089,0.0702,0.3465,0.7206999999999999,0.0,0.23329999999999998,0.5901,0.1746,0.0,0.1718,0.1839,0.2096,0.0794,0.2403,0.09140000000000001,0.289,0.1466,0.1637,0.1013,0.29359999999999997,0.1623,0.0,0.18289999999999998,0.041100000000000005,0.4163,0.3873,0.057999999999999996,0.04190000000000001,0.5604,0.17559999999999998,0.0,0.195,0.18539999999999998,0.3447,0.1629,0.1294,0.37689999999999996,0.19920000000000002,0.0,0.16510000000000002,0.0,0.2823,0.29760000000000003,0.4106,0.0461,0.0675,0.18100000000000002,0.433,0.2089,0.0362,0.1543,0.1606,0.1561,0.16760000000000003,0.2078,0.0,0.1376,0.23399999999999999,0.5904
Capital Humano,Acesso e Qualidade da Mão de Obra Qualificada,Custo Médio de Salários de Dirigentes,RAIS (ME),R$,2020.0,6775.95,0.0,6902.37,488468.0,6143.53,4357.96,358080.0,6881.62,4849.77,14219.21,11044.57,8535.63,6234.38,5490.47,4173.03,5902.23,5868.26,6551.38,5330.13,4908.82,4973.78,6400.92,7253.66,8214.35,4463.39,4014.58,4496.43,4864.31,4633.68,3650.04,3646.37,9773.76,3784.44,3544.28,7255.78,6154.57,5372.36,5262.12,5271.38,8294.51,7624.71,5323.03,3829.7,3711.99,4807.11,6390.61,4268.98,5082.52,4334.69,4343.28,4041.36,5430.61,5677.84,3343.83,5412.62,5798.12,4078.01,3508.86,3597.92,6869.06,3565.66,4754.2,5147.14,6982.72,3852.53,4786.39,6089.98,7369.82,8823.55,4282.19,3939.81,3439.52,6769.91,4060.65,5308.5,3565.63,3959.81,5138.59,4732.34,4512.8,6026.57,2972.75,3334.71,5938.25,3652.73,5120.26,3757.79,5539.48,4443.84,3458.47,3758.83,4592.81,4120.67,3258.34,4636.52,8558.17,4743.58,6041.12,4442.0,6151.78,7900.88,3436.77,4574.58,2936.87,5823.47,6630.56,4201.17,9623.63,5194.22,6192.3,3952.09
Capital Humano,Acesso e Qualidade da Mão de Obra Qualificada,Índice de Acesso e Qualidade de Mão de Obra Qualificada,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2723,5.7822,6.6476,5.802,5.6503,7.3119,4.3884,6.4474,6.2255,6.045,5.7606,7.5645,4.6219,6.8673,5.7647,5.0425,5.8509,4.6369,6.0787,7.1744,6.6957,6.1136,6.9252,5.8574,6.416,6.4114,6.3032,4.0854,7.1654,5.2651,5.8326,5.3688,6.0715,6.6013,6.6601,6.4352,5.002,6.229,7.9587,5.7323,5.0185,6.0824,6.0333,6.6495,7.2916,9.0304,4.2659,6.7927,8.4046,4.851,5.0554,6.5683,6.3828,4.7733,6.0839,6.7221,6.0033,4.9891,5.6099,6.0392,6.5645,6.912,5.5972,4.9207,5.097,5.8882,6.4752,7.3929,4.6933,5.14,7.6419,6.8045,4.5395,5.9519,6.243,6.5994,6.8939,5.2097,6.9449,6.3786,4.9036,6.0551,4.7652,6.9736,6.8829,5.3505,5.0706,5.6612,6.5777,6.7378,4.0357,5.8819,5.8145,6.8212,5.2309,5.0693,5.8318,3.3734,4.9103,5.0894,8.3631
Acesso a Capital,Capital Disponível,Operações de Crédito por Município,BACEN e IBGE,% crédito,2021.0,217.0,68.0,542.0,59.0,285.0,352.0,3023.0,82.0,211.0,1613.0,2.0684,0.5054,0.6736,0.5053,0.5133,1.2808000000000002,0.2147,0.7551000000000001,0.5837,0.8502,0.5807,1.1462999999999999,0.16269999999999998,0.4375,0.4336,0.1548,0.47950000000000004,0.1245,0.6079,0.5011,0.5387,0.38909999999999995,0.5604,0.1685,0.1956,0.2115,0.6747,0.13019999999999998,0.5241,6.2249,0.2862,0.1523,0.6634,0.3789,0.727,0.2621,0.1776,0.5885,0.4045,0.3865,0.261,0.12029999999999999,0.2932,0.41119999999999995,0.1311,0.7217,0.09230000000000001,0.1112,0.2564,0.1754,0.1376,0.5429999999999999,0.21539999999999998,0.09369999999999999,0.4227,0.5457,0.3467,0.1446,0.1333,0.44079999999999997,0.4171,0.40990000000000004,0.2872,0.12269999999999999,0.3593,0.1972,0.1528,0.45299999999999996,0.1025,0.2968,0.5509000000000001,0.3333,0.1699,0.4583,0.32689999999999997,0.3958,0.5492,0.1993,0.4879,0.3998,0.10890000000000001,0.3084,0.1678,0.2823,0.575,0.12029999999999999,0.17350000000000002,0.1672,0.7111,0.2349,0.0574,0.3032,0.15109999999999998,0.4172,0.16649999999999998,0.1576,0.2557,0.1341,0.2148,0.1572,0.5982999999999999
Acesso a Capital,Capital Disponível,Capital Poupado per capita,BACEN e IBGE,R$/habitante,2021.0,13976.43,0.0,10565.17,429960.0,7572.35,2754.48,0.0,6993.72,58473.77,3049.77,73538.0,45609.41,30904.11,12869.45,14054.69,37183.28,7710.99,38313.58,20800.56,17925.86,12085.14,83609.49,10479.61,32239.26,8036.46,3853.84,10020.89,5963.35,9790.65,9844.88,8465.49,18825.67,10371.52,4931.01,13135.26,17702.54,26065.46,2977.57,12924.64,31109.53,13802.72,10804.45,15992.68,6417.88,18844.94,15514.9,2526.29,15313.37,12676.34,8271.2,2450.41,4580.5,15548.61,3747.04,24609.25,23997.96,1703.04,8734.89,8396.72,6655.45,4160.73,20884.09,12037.92,9215.77,5399.09,17185.01,31662.98,11572.82,24104.45,6541.38,6276.85,7101.08,22325.09,3159.07,8132.97,3613.28,4907.12,14200.63,3686.17,5918.25,55592.75,5610.17,1368.1,17507.45,4737.13,9238.66,11332.53,9437.3,9398.27,6081.36,1430.71,10906.78,2536.6,6771.75,12014.89,8990.72,8004.65,12362.5,9862.6,13281.63,7875.99,3780.56,13025.6,5338.63,7592.44,7534.22,4533.27,6817.16,3812.42,5131.69,10142.41
Acesso a Capital,Capital Disponível,Proporção Relativa de Capital de Risco,Crunchbase,% capital de risco,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0875,0.0116,0.0001,0.0034999999999999996,0.0001,0.046799999999999994,0.0,0.0659,0.0033,0.001,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0001,0.0,0.0007000000000000001,0.0,0.001,0.0,0.0,0.0,0.0,0.0006,0.0,0.0051,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0
Mercado,Clientes Potenciais,PIB per capita,IBGE,R$,2019.0,43817.87,30823.44,40376.72,4042158.0,47859.71,36581.74,2873169.0,43734.95,32220.81,78265.31,61615.28,52391.45,88424.36,21999.0,24936.36,38410.43,37620.16,48931.55,32926.35,34014.86,21511.48,55229.36,46391.07,53852.94,28768.55,16708.14,22694.78,48773.38,33007.49,27718.62,25274.94,60087.65,25244.46,21110.9,58940.43,41911.23,49096.57,19499.72,53252.7,116795.46,53619.9,45175.02,26069.21,23871.21,39485.71,57099.66,23877.94,37185.23,32371.31,32629.57,15110.37,48187.26,51580.57,21890.63,90048.19,42522.57,15653.21,56539.45,25281.65,33800.62,20693.33,40020.68,35603.32,62366.11,24214.84,44245.39,52427.63,35621.75,109975.34,21798.97,23268.86,22980.54,67814.59,15187.59,37168.56,14667.03,26344.96,40147.63,20203.49,14958.55,58492.3,20606.38,18756.9,47197.95,20219.01,43483.11,28357.78,58989.5,27472.95,21137.43,12727.3,45673.06,13472.9,22640.04,37498.87,89542.44,28022.29,57219.54,33348.12,44358.59,84876.31,16625.12,44420.79,22798.63,39685.09,29619.21,29604.45,51209.97,39690.92,43410.44,30743.74
Mercado,Clientes Potenciais,Proporção entre Grandes/Médias e Médias/Pequenas Empresas,RAIS (ME),% empresas,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.367,1.4016,1.347,1.6794,1.0354,1.504,1.1812,1.6199000000000001,1.3033000000000001,1.0859999999999999,2.2328,1.4094,0.7132,1.05,1.5649000000000002,1.3728,0.9451,1.0317,1.4513999999999998,1.8430000000000002,1.2318,1.2129,1.3766999999999998,0.9765,1.0051999999999999,1.4853,0.9520000000000001,0.8284999999999999,0.0,0.9215000000000001,1.0436,1.2154,1.7889,0.9442,1.0362,1.5099,0.9265000000000001,0.9989,1.3421,1.5478999999999998,0.8404,1.0754000000000001,0.7997,1.0311,0.9002,1.7224000000000002,0.7874,0.9756,1.1575,0.7889,0.9545999999999999,0.9627,1.077,1.0415,1.36,0.7337,1.037,0.5693,1.0552,1.1697,1.0998,1.1175,1.1915,0.4943,1.0996,1.8538999999999999,0.7159,1.5213999999999999,0.41840000000000005,0.9983,1.5571000000000002,1.0889,0.6557999999999999,1.6272,1.1278,1.8672,0.7508,0.9267,1.0186,0.8423,1.3719999999999999,1.0056,1.4987000000000001,0.3505,0.6075,0.0,0.8259000000000001,1.3519999999999999,1.4796,1.2319,1.0218,0.9948999999999999,1.1344,0.7293000000000001,1.3603999999999998,0.6493000000000001,1.3431,0.9643999999999999,1.9505000000000001,1.0055,1.0021
