Cidade,Acesso a Capital,Ambiente Regulatório,Capital Humano,Cultura,Infraestrutura,Inovação,Mercado
Mafra,6.325011218,2.295477871,3.033048519,2.367793297,2.045749695,1.424302602,5.241746782
Bela Vista do Toldo,4.855622986,0.2184223162,1.891623184,1.517171231,2.175938857,1.524576628,3.447150175
Canoinhas,7.062041044,5.273412562,2.558663416,2.864514568,2.399195231,1.994718048,4.90954313
Irineópolis,5.141387321,8.024406184,14.01074241,3.96363035,7.289242665,3.971035747,4.214550882
Itaiópolis,6.064908867,2.776335616,1.997175382,1.440168334,2.054005124,1.447573731,4.866883729
Major Vieira,5.917265916,-0.2432727236,1.990842355,1.350529999,1.99620916,1.357935396,4.301638102
Monte Castelo,13.81520571,8.670936876,19.1916085,1.716053039,11.32114323,1.723458435,3.518132308
Papanduva,5.407281454,3.168616557,1.991745448,3.743377737,2.084197912,2.990761858,4.747604941
Porto União,9.546655273,2.416567612,3.072445163,2.689557694,2.42420249,1.706680439,5.81444267
 Três Barras,9.762127578,0.4076135055,4.283665562,1.982317383,2.117028082,1.98972278,5.857872965
São Paulo,17.71197674,7.52703952,5.9809504,7.039837133,9.932877778,8.243661753,8.008123163
Rio de Janeiro,8.992847167,7.7172038,6.421480322,7.614629665,6.71970861,8.300650559,7.010387914
Brasília,6.910408764,4.786864416,6.555130391,8.038988586,9.172261788,6.935030767,8.607935711
Salvador,5.896078078,8.600875667,6.095036577,6.905362223,6.651177453,6.597475215,5.274546955
Fortaleza,5.683122228,6.675144628,5.921294381,7.412838357,7.301252767,7.047152473,4.712744847
Belo Horizonte,11.48009197,7.017176417,7.198614365,7.288629166,7.613461016,8.23599224,6.816500104
Manaus,5.211531978,5.483435029,5.131945744,7.551388051,5.375539116,6.947598278,6.601907258
Curitiba,13.2420275,6.341253621,6.334571399,8.293824662,6.909131658,8.836318804,8.083297141
Recife,6.456172662,6.93358974,6.53869185,7.707462868,8.553697326,8.065693958,5.552622689
Goiânia,6.045222663,6.809049652,6.136472709,6.874171341,8.207496979,6.319977863,5.883708956
Belém,5.531122058,6.724757726,5.880182416,8.244015532,4.911583192,7.095857722,6.593964077
Porto Alegre,11.02217291,6.351292543,7.499785758,7.744703812,6.412874986,8.453570821,7.476613938
Guarulhos,5.412956589,6.009110216,5.408209046,4.785986215,7.793935764,6.716026341,7.055361512
Campinas,6.998102456,8.824176659,7.049400551,7.620367855,7.705417317,9.485840119,7.278427125
São Luís,5.235893044,6.905681353,5.805421628,7.638168377,5.870335237,6.336301545,5.932336828
São Gonçalo,4.930512589,5.451661908,4.965291041,5.326435845,6.444369038,4.506560451,4.656470625
Maceió,5.380517883,5.588567166,5.687876768,7.013235397,5.921276021,5.907830402,3.850191704
Duque de Caxias,5.084013421,4.769791,5.248762201,5.809192644,7.090197966,5.664090062,5.261521485
Campo Grande,5.381748028,5.612942939,5.840919615,6.205172949,6.428037914,5.949332496,6.380640734
Natal,5.367768146,4.556694071,6.54253873,6.92941401,5.643312178,6.2897661,6.220537901
Teresina,5.267449236,7.294732992,6.392658286,6.616848221,6.481052566,5.35494063,4.924100147
São Bernardo do Campo,6.021316809,6.440059054,6.858922562,6.684628474,7.20765503,7.302512831,8.483957396
João Pessoa,5.406292422,8.358461386,6.323898923,7.104370553,5.836927016,6.845200374,5.222161473
Nova Iguaçu,5.008982507,6.015137861,5.609806351,5.434721799,6.860824903,4.727677722,3.706171888
São José dos Campos,5.70323823,6.181459865,6.725277487,8.305524301,5.92457637,9.107478767,7.156297789
Santo André,5.939003613,6.179447977,6.499813149,6.964981059,6.598276784,7.383012393,7.535636253
Ribeirão Preto,6.558111648,6.935212882,6.065164083,6.892597337,6.327423803,7.497537306,6.738112733
Jaboatão dos Guararapes,4.866637083,6.967828804,4.730762912,5.86933254,7.304990339,4.602011759,3.545710064
Uberlândia,5.653690012,6.167651489,7.017076955,6.912905786,6.475597939,7.44845988,4.945933394
Osasco,6.933394643,8.570419981,5.961041422,6.358030598,6.482237965,6.645572678,8.893676104
Sorocaba,5.743308198,6.557911266,6.439635868,7.568626406,7.086320985,7.963364332,7.926415726
Contagem,5.436576545,7.635375196,5.769119984,5.759542575,6.174315316,5.66264834,6.32963269
Aracaju,5.815879456,4.705449892,5.570918023,6.258588005,5.862249239,5.601680224,5.738266783
Feira de Santana,5.117878937,7.308992864,6.372628659,6.185314851,6.387673521,5.336717084,3.930829697
Cuiabá,6.023744366,5.51578585,6.139338285,6.726132916,6.989880593,6.170601741,5.564770192
Joinville,5.832689305,7.608703318,6.949574199,8.106032011,5.131416398,8.830183336,9.323338276
Aparecida de Goiânia,4.833923258,5.973708257,5.295282715,6.800511818,6.438213565,5.731172113,4.629841405
Londrina,6.215107567,6.625000333,5.89753881,7.221447443,6.164080574,7.439197872,5.874596659
Juiz de Fora,5.591237419,6.796990215,7.305528809,6.503940802,6.039213343,6.555022633,6.383870908
Porto Velho,5.252841576,5.962581549,5.45204589,8.328381894,5.165942633,6.994751022,6.110605721
Ananindeua,4.82865133,4.637863682,5.094659273,6.848485343,5.109645927,4.707448436,4.28385187
Serra,4.983315851,5.155468235,6.595265951,6.844148693,5.614787249,5.904125411,7.416460667
Caxias do Sul,5.782424422,6.193101639,6.394987702,7.37186352,4.909226978,9.086957128,8.395806415
Macapá,4.923513925,6.386854141,5.417648487,6.92737659,5.336991255,4.720169742,4.775063948
Niterói,6.441635032,6.511615001,6.932217435,6.785137643,7.1197561,6.579155983,11.01665503
Florianópolis,8.15056874,6.489659304,8.663109824,9.322231681,6.712000279,9.812250222,8.154160265
Belford Roxo,4.773724077,5.685399014,4.471647668,4.792302312,6.094965603,4.261527511,2.69439902
Campos dos Goytacazes,5.285767974,4.860463729,6.217794144,3.916489056,6.216635713,5.585303403,7.356201407
Vila Velha,5.26158618,5.133416911,7.681657663,6.7448598,6.270880671,5.677638576,6.003072085
Mauá,5.134559314,6.122280767,5.656518989,4.87010014,5.557498926,6.386839543,6.295741449
São João de Meriti,4.952804995,4.704583993,5.01797679,4.955579509,6.041659287,4.416417474,3.568332045
São José do Rio Preto,6.242074414,7.012984927,6.344756054,5.331892819,6.021643039,7.995625249,6.308298556
Mogi das Cruzes,5.526576394,6.995936746,6.231372121,6.347687131,6.971394242,6.010711323,6.122107774
Betim,5.320727622,5.149492347,5.729327304,6.042696221,6.256633958,6.245221858,6.577905221
Boa Vista,5.043833988,5.819393082,5.465115594,6.567369156,6.029521565,4.744759047,8.173581329
Maringá,5.902335728,5.976903894,6.266413075,7.526573845,5.969896523,7.823452856,6.386555524
Santos,6.955868401,6.767385436,6.012782272,5.368099657,7.256995441,4.971601176,7.199972057
Diadema,5.492497956,7.09611056,6.094643008,6.522507882,5.822784501,8.090401022,7.439520246
Jundiaí,6.422491918,5.531280874,6.237209547,6.753378676,5.69098249,6.976307837,10.75647731
Rio Branco,5.127058611,5.065480893,5.703771618,5.211879971,6.024580852,4.470350548,4.51638521
Montes Claros,5.107726414,5.374914423,5.946650435,4.952860917,5.801089877,4.996072776,4.839081284
Campina Grande,5.167716488,5.117886203,6.422182846,8.922403051,5.479034639,9.589359603,4.276779009
Piracicaba,6.627890037,6.477679434,6.168377219,7.511923882,7.037779625,7.921755065,8.559061553
Carapicuíba,4.879829296,5.321239679,5.086304262,3.628756866,5.609682853,5.740099566,4.261845433
Anápolis,5.242694626,4.209103992,5.732304419,6.215747556,7.024686679,5.525328941,5.424861615
Olinda,4.913126055,6.739571142,5.378978204,5.210543495,6.118584319,5.441813598,5.082272982
Cariacica,5.007195482,5.029108416,6.470756473,3.538098951,4.904727101,4.731937253,5.04876842
Bauru,5.684762974,7.489054713,7.060398819,5.734412182,5.490453265,6.875952738,7.154474709
Itaquaquecetuba,4.91814602,5.252570431,5.151784118,5.65748292,7.14708159,6.020976616,5.056594148
São Vicente,5.08125212,5.376248874,5.214580196,4.892217589,5.09229418,4.249058551,4.477018978
Vitória,8.698805903,5.187711107,7.80483127,5.532685541,6.007050981,8.48018244,8.112677789
Caruaru,5.058931589,6.356580022,6.042474942,6.101462842,5.538239882,4.874827377,3.721292514
Caucaia,4.749572494,6.756943389,4.377325745,4.923820457,6.148415611,5.040117328,3.767968563
Blumenau,6.163208643,6.683859846,6.036892376,7.222156154,4.902559131,8.280623876,8.011979153
Petrolina,4.99534644,5.958097954,5.962244152,5.900018655,5.75894387,4.576408974,4.820048048
Ponta Grossa,5.323310205,6.396294331,6.578151375,5.799313741,5.616615252,5.929589844,7.504841377
Franca,5.476229273,6.948967184,6.271007554,5.689931028,5.999569056,6.240662513,5.951298444
Canoas,5.337177326,5.722537571,5.610366261,6.707798057,6.099054888,7.183329363,6.035721445
Pelotas,5.335210602,6.127450404,6.812040212,6.271156311,4.84372777,7.195487647,4.934600354
Vitória da Conquista,5.0934404,7.73357344,6.038958479,4.584553418,5.735405764,4.663340708,3.269381378
Ribeirão das Neves,4.753946154,5.737046253,4.843806778,4.792110454,5.582536038,4.106729371,4.115885114
Uberaba,5.444500454,7.272826108,5.992350179,5.233932198,5.627301104,6.337055583,6.06027388
Paulista,4.834644212,7.504672622,4.9651181,5.190745597,6.39288273,4.601618123,4.925760234
Praia Grande,5.143351199,8.44487464,6.52218775,4.972431495,5.567528236,3.59802768,3.867758038
Cascavel,5.552396694,5.253269497,6.489877786,6.892115014,5.997569702,7.298597033,5.362605003
São José dos Pinhais,5.30442246,5.078830285,6.396478986,6.74758884,5.27264665,7.124071227,8.616024536
Guarujá,5.232788344,7.938559852,5.363737967,5.303707882,6.829256258,4.240982081,4.463969409
Taubaté,5.55006281,4.410032682,5.878085967,6.326819542,5.138676833,6.236272279,7.773692977
Palmas,5.369695055,6.732175464,6.096912442,7.895263724,6.570483603,5.833355841,6.707870017
Limeira,5.617189617,5.630602875,7.177017889,5.934390249,7.184639786,8.983753276,8.18789468
Camaçari,5.223068637,8.656618963,5.608683535,6.063023502,5.969814643,6.566796028,7.364532791
Santarém,4.925627047,5.471045363,5.490207174,5.670986178,5.312968649,4.189884324,3.771587487
Petrópolis,5.598294078,6.613344525,5.789814442,5.339909291,6.075930238,5.215771739,5.559964906
Mossoró,5.03941524,4.698433332,6.059497443,7.061197223,5.734555215,5.786431039,4.050876647
Suzano,5.202754251,7.176573849,5.931515605,5.362634319,7.022332175,5.398688436,6.927253903
Taboão da Serra,5.198488288,5.996076695,5.825801824,4.117905712,5.595171773,6.455542319,5.677806659
Várzea Grande,4.980287585,5.203300584,5.720689873,5.762962869,6.759092659,5.354862259,5.358429275
Sumaré,5.181417204,7.320100052,4.778199837,5.24337831,6.193592055,5.821969473,7.012710123
Marabá,4.927678734,5.716304611,5.38496777,5.609781995,5.401337828,4.726743244,6.852650311
Gravataí,5.023559687,5.537802728,5.863349975,5.855209473,5.449333717,6.097360689,6.469008493
Santa Maria,5.389725915,6.556705807,7.786045606,8.294505161,5.43514775,8.737062168,5.980999236